labelCat,displayName
Lise,Çukurova Ünv. Devlet Konservatuvarı Müzik Ve Sahne Sanatları Lisesi
Pazar Alanı,Açık Pazar Alanı
İlkokul,Bağyolu İlkokulu
Fast Food,Aymar Cafe Fast Food
Cami,Küçüksümbüller Mahallesi Cami
Cami,Büyüksümbüller Mahallesi Cami
Pazar Alanı,Muradiye Kapalı Pazar Alanı
Ortaokul,Şehit Albay İbrahim Karaoğlanoğlu Yatılı Bölge Ortaokulu
Ortaokul,Kırıklı Kanlıgeçit Ortaokulu
Ortaokul,Vali Mehmet Süer Ortaokulu
İlkokul,Kırmacalı İlkokulu
Ortaokul,Küçükçınar Ortaokulu
Basketbol/Voleybol Sahası,Basketbol Sahası
Ortaokul,Kırmacalı Ortaokulu
Veteriner,Kaplan Veteriner
Kreş/Gündüz Bakımevi,Meram İhsan Karaciğan Anaokulu
Ortaokul,Dr. Natuk Birkan Ortaokulu
İlkokul,Hanefi Aytekin İlkokulu
Lise,Nene Hatun Kız Teknik Ve Meslek Lisesi
Kreş/Gündüz Bakımevi,İzgi Kreş
Zincir Marketler,A - 101 - Sapanbağları Pendik İstanbul Şubesi
Lise,Kolukısa Anadolu Lisesi
Basketbol/Voleybol Sahası,Basketbol Sahası
Ortaokul,Gölbent Ramazan Patat Ortaokulu
Ortaokul,Mamure Ortaokulu
Kooperatif/Site,Erim Marina Sitesi
Spor Salonu,Yusuf Baysal Spor Salonu
Ortaokul,Kadıköy Ortaokul
Ortaokul,Atatürk Ortaokulu
Kooperatif/Site,Pasifik Villaları
Lise,Batman İmkb Anadolu Lisesi
Ortaokul,Türk Telekom Ortaokulu
Kooperatif/Site,Yayla Kent Sitesi
Cami,Şehit Cengiz Cami
Ortaokul,Yahya Kemal Beyatlı Ortaokulu
Cami,Şirinevler Cami
Cami,Sarıveli Köyü Cami
Kooperatif/Site,Özlem Sitesi
Cami,Ebubekir Sıdık Cami
Spor Salonu,Fitness Club
Sosyal Tesis,Özlem Sitesi Sosyal Tesisi
Ortaokul,Karaçulha Ortaokulu
Ortaokul,Kargı Şehit Refik Cesur Ortaokulu
Kreş/Gündüz Bakımevi,Ermenek Anaokulu
Ortaokul,Karagedik Ortaokulu
Bar,Can Restoran
İlkokul,Toki Şehit Şükrü Özyol İlkokulu
İlkokul,Çiftlik İlkokulu
Poliklinik,Karaman Devlet Hastanesi Poliklinikler
Ortaokul,Kumarlı Şh.Öğretmen Orhan Gök Ortaokulu
